col_name
131Xe
133Cs
139La
141Pr_CollagenVI
142Nd_CD45_I3_2
143Nd_Vimentin
145Nd_Vitronectin65_75
146Nd_Endostatin_new
148Nd_aSMA
149Sm_CD11b
150Nd_Ahnak
151Eu_NCadhern_ab76057_new
152Sm_FOXC2_Thermo
153Eu_Cytokeratin19_new
154Sm_L1CAM
156Gd_Desmin
158Gd_CD34
159Tb_CD3_145_2C11_new
160Gd_CD44
161Dy_p53
162Dy_CD31
163Dy_CollagenI
164Dy_Arginase1
165Ho_CollagenIV
166Er_CA9
167Er_ECadherin_new
168Er_Ki67
170Er_pS6
171Yb_Laminin
172Yb_CleavedCaspase3
173Yb_Rgs5
174Yb_PDGFRB
175Lu_Perlecan
176Yb_HistoneH3
191Ir_DNA
193Ir_DNA
